1498710,1514226,1043277,1135017,1614436,737874,1090727,1506307,1492691,702165,887637,1066107,277948,27904,1633651,1389170,1158463
,2014-07-14,2017-05-03,2014-08-12,2016-04-04,2004-12-06,2019-10-22,2018-05-14,2018-11-15,2016-04-12,2012-03-07,2012-03-26,2018-01-12,2014-06-27,2019-12-17,2017-05-23,2014-06-11
,,2012-10-17,,2015-08-14,,2019-07-24,2017-01-24,2017-09-11,2011-05-18,2012-02-03,2012-03-26,2017-10-31,2011-06-30,2019-12-17,2017-01-23,2011-06-01
,,,,,,2019-04-25,2014-08-12,2017-05-24,2011-05-13,2011-08-31,2011-05-24,2017-06-08,,2019-03-11,2016-05-23,2009-11-16
,,,,,,2017-05-08,,2017-04-13,2007-06-12,2011-05-23,2010-05-11,2017-02-13,,2015-05-12,2014-10-20,2004-03-31
,,,,,,2017-02-21,,2011-10-27,2007-02-23,,2009-05-06,2007-11-16,,,,
,,,,,,2016-10-27,,,,,2007-12-06,2007-11-16,,,,
,,,,,,2016-07-29,,,,,2006-10-26,2007-09-14,,,,
,,,,,,2016-04-28,,,,,2006-02-16,2007-09-06,,,,
,,,,,,2016-04-28,,,,,2005-03-31,2005-08-11,,,,
,,,,,,2011-10-25,,,,,,,,,,
