1650729,1618673,1573097,1600438,1328581,927653,1412232,1378718,1281949,1577916,1279529,1665918,1617898,1599617,1604416,1494319,1402057,1489136,1439095
,2019-11-13,2018-10-02,2019-04-03,,2018-07-31,2017-05-05,2019-08-09,2006-12-22,2019-05-06,2007-12-06,2019-05-02,2018-07-17,2018-05-01,2019-02-05,2019-12-16,2019-05-23,2019-12-05,2019-11-04
,2019-03-04,2018-06-21,2018-11-01,,2018-07-27,2016-05-19,2019-08-09,2006-02-14,2018-12-07,2007-05-29,2016-06-01,2018-05-01,2016-01-21,2017-12-19,2019-10-31,2019-03-11,2018-07-02,2019-09-27
,2018-11-14,2017-08-07,2018-08-15,,2017-07-28,2015-05-13,2018-01-29,2006-02-14,2018-08-23,2006-06-07,,2016-08-26,2014-05-30,2017-03-22,2019-08-07,2018-12-20,2018-03-20,2019-05-01
,2017-11-13,2013-08-30,2018-08-08,,2016-07-29,,2017-09-18,2005-07-29,2018-02-08,2004-12-03,,2014-12-19,,2016-06-15,2019-03-01,2018-05-25,2018-01-08,2018-05-25
,2016-12-02,,2018-06-28,,2015-07-31,,2016-01-28,2005-07-29,2017-12-01,,,,,2016-06-15,2018-11-01,2017-09-22,2017-07-17,2017-09-26
,2016-05-04,,2018-03-06,,2014-08-04,,2015-04-23,2005-07-29,2017-11-09,,,,,,2017-11-03,2017-03-31,2017-06-06,2015-06-11
,,,2017-12-07,,2011-08-02,,2015-04-06,2005-05-23,2016-12-02,,,,,,2017-05-09,2016-08-18,2016-09-30,2014-07-21
,,,2017-11-07,,,,2014-11-20,,2016-11-28,,,,,,2016-05-05,2016-05-19,2016-05-31,2013-11-20
,,,2017-10-20,,,,2014-02-12,,2015-12-04,,,,,,2016-05-03,2016-03-14,2016-05-19,2013-08-09
,,,2017-09-13,,,,2014-01-31,,2015-11-12,,,,,,2016-05-03,2015-05-15,2013-08-06,2013-05-17
,,,2017-09-06,,,,2014-01-31,,2015-08-04,,,,,,2015-09-17,2014-06-09,2012-05-30,2013-05-10
,,,2017-08-08,,,,2013-01-28,,2014-08-05,,,,,,,2014-05-28,2011-11-04,2012-11-09
,,,2017-06-29,,,,2012-03-09,,,,,,,,,2014-03-28,2011-06-21,
,,,2017-03-22,,,,,,,,,,,,,2013-05-01,2011-06-01,
,,,2016-08-09,,,,,,,,,,,,,2011-06-30,,
,,,,,,,,,,,,,,,,2010-12-07,,
