1370880,1383312,1571123,1478242,1336920,1646383,70866,1124610,1352010,1443646,1223862
2016-05-05,2019-10-15,2019-01-07,2018-02-14,2013-09-11,2015-12-02,2018-11-07,2019-08-22,2018-08-02,2019-11-06,2012-05-24
2013-11-07,2018-10-25,2018-09-11,2017-11-07,2012-08-30,,2016-10-25,2018-08-23,2012-03-27,2019-08-02,
,2018-09-28,2019-01-08,,,,2016-07-26,2018-03-01,,2019-05-28,
,2018-08-07,2013-09-11,,,,2016-03-07,2014-04-07,,2019-02-06,
,2017-12-06,,,,,2016-04-26,2019-08-22,,2018-11-07,
,2017-10-05,,,,,2019-08-06,2013-01-28,,2018-08-07,
,2017-11-13,,,,,2013-11-12,2012-07-23,,2018-07-09,
,2014-11-14,,,,,,,,2018-07-30,
,2014-11-19,,,,,,,,2018-06-06,
,2014-12-11,,,,,,,,2015-05-21,
,2014-09-17,,,,,,,,,
,2014-10-03,,,,,,,,,
,2014-05-14,,,,,,,,,
,2014-02-18,,,,,,,,,
,2014-05-09,,,,,,,,,
,2013-11-13,,,,,,,,,
,2013-11-15,,,,,,,,,
