1357615,1124198,1498828,1633931
2019-05-01,2016-03-15,2018-04-25,2019-10-31
2019-07-31,2013-10-31,2014-02-27,2019-08-01
2018-04-26,2009-11-09,2013-11-07,2019-05-07
2019-10-30,2003-10-29,2014-03-13,2019-02-26
2019-02-26,2000-12-07,2013-08-08,2018-11-06
2018-10-30,2018-08-03,2013-05-09,2018-08-07
2018-07-30,,2011-07-05,2018-05-08
2011-04-27,,2017-03-21,2018-02-27
2016-05-23,,2013-10-02,2017-11-07
2016-08-12,,2010-11-12,2018-04-17
2009-11-06,,,2015-07-28
2018-02-23,,,2015-08-11
2015-10-01,,,2018-04-09
2011-12-07,,,2018-03-02
2006-11-27,,,2018-04-26
2018-11-16,,,2015-07-06
