1177609,885639,1326380,1575515,866787,794367,1051251,29534,86144,1639300,1573516,1579298,1037461,1368458,1489979,92344,1471458,1528849,1170650,1170010,1419852,1562039,888455,1593936,1355096,1610092,1158449
2018-03-21,2019-05-21,2019-06-10,2015-04-17,2018-03-23,2019-12-12,2019-09-13,2017-12-07,2014-04-23,2018-01-05,2019-07-31,2018-11-08,2011-06-29,2013-05-02,2014-10-08,2005-11-09,2011-07-14,2019-12-05,2011-11-07,2018-12-04,2016-02-03,2016-08-23,2005-06-28,2019-06-25,2019-11-12,2019-12-09,2015-05-21
2014-12-04,2019-04-23,2016-03-02,2018-03-27,2015-10-07,2006-11-08,2019-09-13,2018-03-27,2014-02-19,2015-07-21,2019-09-13,2017-11-21,,2013-08-01,2013-03-06,,2013-05-24,2019-12-04,2011-11-18,2004-03-04,2016-08-08,2013-04-11,2005-03-10,2019-12-27,2019-08-08,2017-11-16,2008-08-06
2013-03-11,2014-10-30,2008-10-02,,2011-09-28,2006-06-06,2017-04-14,2017-03-29,2013-10-10,2019-05-24,2017-04-25,2016-07-29,,2013-11-14,2016-03-14,,2013-04-11,2019-03-28,2011-10-26,2003-07-11,2014-03-10,2014-09-16,2006-07-14,2019-07-09,2019-05-10,2017-12-21,2006-02-16
2018-10-05,2008-03-06,2011-01-06,,2008-02-15,2007-02-27,2017-03-21,2014-12-05,2013-07-18,2016-02-02,2016-02-09,2014-08-18,,2013-02-07,2016-04-27,,,2018-12-03,2011-09-09,2015-08-26,2015-11-30,2013-11-08,2005-01-14,2019-09-04,2019-03-01,2015-04-06,2004-05-20
2015-03-16,,2016-03-09,,2007-09-28,2003-04-16,2011-02-02,2014-09-02,2013-04-25,,2019-08-29,,,2012-11-15,,,,2017-12-05,2011-08-29,2011-08-30,2014-09-04,2013-05-01,2005-01-14,2018-05-24,2018-11-09,,2006-10-12
,,2014-09-24,,2002-10-01,2005-08-30,2008-08-26,2013-04-02,2013-03-06,,2013-08-16,,,2012-08-02,,,,2018-03-27,2011-08-19,,2016-02-05,,,2016-09-30,2018-08-09,,2004-11-09
,,2015-06-02,,,2005-06-07,2008-07-17,2012-10-03,2013-10-21,,2016-03-16,,,2014-05-01,,,,2017-03-28,2011-08-15,,2014-10-21,,,2016-05-27,2018-05-11,,2003-12-30
,,2017-11-21,,,,2006-11-29,2012-07-03,2013-02-21,,2013-09-05,,,2012-05-03,,,,2016-02-24,2011-08-08,,,,,,2018-03-05,,
,,2008-11-18,,,,2005-10-18,2012-06-11,2012-05-18,,,,,2012-02-02,,,,2018-06-19,2011-07-29,,,,,,2017-08-09,,
,,2014-03-28,,,,2005-10-18,2012-07-17,2012-10-11,,,,,2011-11-16,,,,2019-04-16,2011-09-02,,,,,,2017-11-09,,
,,2005-10-12,,,,2005-10-14,2011-12-12,2012-07-19,,,,,2011-08-04,,,,2019-09-18,2011-08-01,,,,,,2017-05-10,,
,,,,,,2010-11-26,2011-09-14,2012-04-26,,,,,2011-05-05,,,,2019-04-05,2011-07-22,,,,,,2017-07-06,,
,,,,,,2003-02-26,2015-10-20,2012-03-06,,,,,2011-02-03,,,,2017-07-13,2010-11-19,,,,,,2017-03-01,,
,,,,,,2003-02-14,2009-04-21,2012-02-23,,,,,2010-11-18,,,,2015-06-24,2009-09-11,,,,,,2016-11-09,,
,,,,,,2003-02-03,2006-06-02,2015-01-30,,,,,2010-07-29,,,,2017-07-03,2009-09-14,,,,,,2016-08-11,,
,,,,,,2003-02-07,2013-04-11,2012-05-17,,,,,2012-05-10,,,,2014-12-01,2009-06-17,,,,,,2016-08-11,,
,,,,,,2005-03-23,2007-03-12,2011-10-13,,,,,2010-02-04,,,,2014-06-24,2009-06-11,,,,,,2016-05-11,,
,,,,,,2003-05-08,2004-10-12,2011-07-21,,,,,2010-04-29,,,,,2009-05-28,,,,,,2016-11-07,,
,,,,,,2002-12-27,2002-11-27,2011-04-28,,,,,2009-11-19,,,,,2009-05-12,,,,,,2016-03-01,,
,,,,,,2014-03-11,2001-09-21,2012-06-15,,,,,2009-07-30,,,,,2009-05-19,,,,,,2015-11-05,,
,,,,,,2019-12-09,2001-10-09,2010-10-14,,,,,2009-04-30,,,,,2007-11-16,,,,,,2015-05-11,,
,,,,,,2019-12-03,2002-09-09,2011-02-24,,,,,2009-02-05,,,,,2007-08-28,,,,,,2014-10-09,,
,,,,,,2017-06-13,2012-04-02,2011-03-08,,,,,2008-11-20,,,,,2011-07-22,,,,,,2017-11-09,,
,,,,,,2004-12-28,2000-11-09,2010-07-22,,,,,2008-08-07,,,,,2005-02-23,,,,,,2015-02-27,,
,,,,,,2017-07-18,2002-03-26,2010-04-29,,,,,2008-08-08,,,,,,,,,,,2014-11-05,,
,,,,,,2011-03-10,2006-07-03,2010-03-03,,,,,2008-05-08,,,,,,,,,,,2015-08-19,,
,,,,,,,2012-03-19,2010-02-25,,,,,2007-08-09,,,,,,,,,,,2014-08-08,,
,,,,,,,2007-07-12,2009-10-15,,,,,2007-11-29,,,,,,,,,,,2014-08-13,,
,,,,,,,2007-07-12,2009-07-23,,,,,2007-05-10,,,,,,,,,,,2014-05-09,,
,,,,,,,,2009-04-30,,,,,2007-02-08,,,,,,,,,,,2015-08-06,,
,,,,,,,,2011-12-07,,,,,2011-11-09,,,,,,,,,,,2013-08-08,,
,,,,,,,,2009-02-26,,,,,2012-05-18,,,,,,,,,,,2013-11-06,,
,,,,,,,,2010-05-24,,,,,2017-07-06,,,,,,,,,,,2014-03-03,,
,,,,,,,,2010-08-03,,,,,2006-11-22,,,,,,,,,,,2013-05-10,,
,,,,,,,,2008-12-04,,,,,,,,,,,,,,,,2012-11-08,,
,,,,,,,,2008-10-07,,,,,,,,,,,,,,,,2013-03-04,,
,,,,,,,,2009-08-07,,,,,,,,,,,,,,,,2012-08-13,,
,,,,,,,,2008-07-17,,,,,,,,,,,,,,,,2011-09-09,,
,,,,,,,,2011-12-22,,,,,,,,,,,,,,,,2011-11-09,,
,,,,,,,,2008-04-24,,,,,,,,,,,,,,,,2012-05-11,,
,,,,,,,,2008-10-23,,,,,,,,,,,,,,,,2011-05-26,,
,,,,,,,,2008-02-21,,,,,,,,,,,,,,,,2011-05-26,,
,,,,,,,,2008-12-22,,,,,,,,,,,,,,,,2011-08-10,,
,,,,,,,,2007-12-13,,,,,,,,,,,,,,,,2017-07-11,,
,,,,,,,,2007-10-11,,,,,,,,,,,,,,,,2010-12-02,,
,,,,,,,,2008-03-11,,,,,,,,,,,,,,,,2012-02-27,,
,,,,,,,,2007-07-19,,,,,,,,,,,,,,,,2014-09-03,,
,,,,,,,,2007-04-26,,,,,,,,,,,,,,,,2011-05-09,,
,,,,,,,,2006-07-20,,,,,,,,,,,,,,,,2011-05-09,,
,,,,,,,,2006-10-12,,,,,,,,,,,,,,,,2011-03-03,,
,,,,,,,,2007-02-22,,,,,,,,,,,,,,,,2010-11-10,,
,,,,,,,,2006-12-12,,,,,,,,,,,,,,,,2011-03-03,,
,,,,,,,,2006-04-27,,,,,,,,,,,,,,,,2010-05-07,,
,,,,,,,,2005-12-14,,,,,,,,,,,,,,,,2010-06-21,,
,,,,,,,,2006-02-23,,,,,,,,,,,,,,,,2010-02-25,,
,,,,,,,,2005-10-18,,,,,,,,,,,,,,,,2010-08-10,,
,,,,,,,,2005-07-26,,,,,,,,,,,,,,,,2009-11-10,,
,,,,,,,,2005-05-03,,,,,,,,,,,,,,,,2009-11-10,,
,,,,,,,,2006-03-15,,,,,,,,,,,,,,,,2009-08-07,,
,,,,,,,,2005-02-24,,,,,,,,,,,,,,,,2009-08-07,,
,,,,,,,,2006-02-28,,,,,,,,,,,,,,,,2009-02-18,,
,,,,,,,,2004-12-08,,,,,,,,,,,,,,,,2009-05-08,,
,,,,,,,,2005-03-15,,,,,,,,,,,,,,,,2009-05-08,,
,,,,,,,,2004-05-26,,,,,,,,,,,,,,,,2008-10-30,,
,,,,,,,,2004-10-19,,,,,,,,,,,,,,,,2009-02-25,,
,,,,,,,,2004-07-27,,,,,,,,,,,,,,,,2008-08-11,,
,,,,,,,,2004-04-16,,,,,,,,,,,,,,,,2008-05-08,,
,,,,,,,,2004-02-17,,,,,,,,,,,,,,,,2017-05-01,,
,,,,,,,,2004-05-04,,,,,,,,,,,,,,,,2008-02-29,,
,,,,,,,,2004-02-12,,,,,,,,,,,,,,,,2007-11-09,,
,,,,,,,,2004-10-27,,,,,,,,,,,,,,,,2007-05-08,,
,,,,,,,,2003-10-16,,,,,,,,,,,,,,,,2007-08-08,,
,,,,,,,,2011-06-07,,,,,,,,,,,,,,,,2007-03-01,,
,,,,,,,,2014-03-10,,,,,,,,,,,,,,,,2009-07-20,,
,,,,,,,,2005-06-07,,,,,,,,,,,,,,,,2006-11-06,,
,,,,,,,,2014-07-22,,,,,,,,,,,,,,,,2006-08-09,,
,,,,,,,,,,,,,,,,,,,,,,,,2006-05-11,,
,,,,,,,,,,,,,,,,,,,,,,,,2008-12-08,,
,,,,,,,,,,,,,,,,,,,,,,,,2008-04-09,,
