1656239,1577095,1636519,1637207,701374,1564902
2016-05-26,2016-05-26,2018-12-10,2017-05-30,2019-05-03,2019-11-07
2017-12-20,2015-09-15,2016-12-13,2016-11-10,2019-11-15,2019-08-06
2016-09-13,2015-08-05,2015-09-21,,2019-10-24,2019-06-13
2016-04-28,2016-01-08,,,2018-05-04,2019-05-07
,,,,2019-03-07,2019-02-28
,,,,2017-05-05,2018-11-05
,,,,2017-07-21,2018-06-13
,,,,2014-05-08,2018-08-06
,,,,2012-09-19,2018-05-08
,,,,2011-05-09,2018-02-27
,,,,2010-12-07,2017-11-07
,,,,2010-08-18,2017-08-08
,,,,2010-09-13,2017-05-09
,,,,2010-05-14,2017-02-28
,,,,2019-04-17,2016-06-17
,,,,2015-07-01,2016-06-14
,,,,2011-12-20,2016-11-08
,,,,2009-07-23,2016-08-04
,,,,2007-05-30,2019-05-28
,,,,2010-05-04,2016-05-05
,,,,,2015-06-12
,,,,,2016-02-25
,,,,,2015-11-05
,,,,,2015-08-06
,,,,,2015-05-07
,,,,,2016-02-19
,,,,,2015-02-26
,,,,,2014-06-13
,,,,,2014-11-12
,,,,,2014-08-13
,,,,,2014-05-14
,,,,,2013-11-13
,,,,,2014-03-13
,,,,,2013-05-22
,,,,,2013-08-13
,,,,,2017-06-16
,,,,,2018-11-01
,,,,,2017-04-04
