1020265,1370880,1289434,1100682,868857,1668397,1383312,1610950,1646383,1571123,1478242,1125011,1006240,1336920,1470215,1163842,70866,1124610,1595262,894253,1169264,1352010,1613859,1443646,1223862,1125914,857323
2005-01-28,2017-02-02,2010-08-31,2012-05-11,2019-12-10,2016-12-08,2019-11-19,2019-05-24,2018-02-07,2019-08-28,2018-07-27,2006-10-02,2006-05-05,2015-01-29,2015-11-02,2005-08-17,2019-04-26,2019-02-28,2015-04-27,2007-05-08,2013-09-11,2019-06-07,2019-06-06,2018-08-07,2015-12-21,2011-06-10,2003-03-18
,2016-08-16,,2014-04-04,2019-03-12,,2018-09-28,2017-05-24,2017-11-07,2019-03-11,2017-04-06,2006-04-07,2006-08-15,2013-09-11,2015-08-11,2006-01-25,2018-05-01,2011-05-31,,2008-12-17,2015-02-25,2018-06-08,2018-08-20,2018-07-09,2015-09-16,2012-04-03,2004-10-29
,,,,2019-08-26,,2017-11-22,2018-05-25,2017-08-09,2014-06-10,2016-05-06,2006-03-20,2004-10-07,2011-06-02,2015-05-05,2003-07-29,2017-05-02,2012-08-24,,2006-03-28,2015-03-20,2017-06-08,2018-05-01,2018-02-06,2014-12-18,,
,,,,2018-03-02,,2018-11-13,2016-05-25,2017-04-10,2018-11-05,2015-11-06,2006-10-26,2003-05-28,2011-03-23,2015-02-05,2003-05-29,2016-04-22,2009-08-10,,2005-03-04,2014-08-26,2016-06-09,2018-05-31,2017-11-13,2014-09-08,,
,,,,2017-03-03,,2017-10-05,2016-09-15,2017-05-24,2015-03-02,2015-05-08,2006-03-15,2001-02-27,2010-10-13,2014-11-05,,2015-04-28,,,2009-09-21,2013-01-22,2015-06-15,2017-06-02,2017-08-07,2016-09-19,,
,,,,2017-06-28,,2016-11-18,2016-07-28,2017-02-07,2018-09-10,2015-10-19,,,2009-04-01,2014-08-12,,2015-04-28,,,2002-06-24,2010-11-02,,2015-07-06,,,,
,,,,2016-12-15,,2017-05-12,2015-05-15,2016-08-10,2015-05-04,2014-05-12,,,2009-10-14,2014-05-06,,2014-04-28,,,,2010-08-02,,,,,,
,,,,2016-09-06,,2015-11-13,2017-08-01,2016-02-10,2013-10-01,2014-05-12,,,2015-03-25,2014-02-06,,2014-11-10,,,,2010-05-04,,,,,,
,,,,2016-03-04,,2015-10-02,,2018-02-12,,2018-06-12,,,2008-10-15,2013-11-07,,2019-08-06,,,,2010-02-11,,,,,,
,,,,2015-03-06,,2014-11-14,,2016-11-30,,2017-03-08,,,2007-10-09,2013-08-14,,2013-04-30,,,,2009-11-02,,,,,,
,,,,2014-03-12,,2014-11-06,,2015-12-02,,2017-09-19,,,2007-06-14,2013-05-07,,2012-05-30,,,,2009-08-05,,,,,,
,,,,2013-03-13,,2012-11-19,,,,2016-10-03,,,2011-03-15,2013-02-07,,2019-08-29,,,,2009-05-07,,,,,,
,,,,2012-03-14,,2012-03-07,,,,,,,2016-01-28,2012-11-06,,2012-04-30,,,,2009-02-10,,,,,,
,,,,2011-08-01,,2013-11-15,,,,,,,,2012-08-14,,2012-05-16,,,,2008-11-05,,,,,,
,,,,2011-03-09,,2011-11-18,,,,,,,,2012-05-07,,2013-02-07,,,,2008-08-04,,,,,,
,,,,2010-07-14,,2011-02-08,,,,,,,,2012-02-06,,2012-11-28,,,,2008-05-06,,,,,,
,,,,2008-10-10,,2007-04-02,,,,,,,,2011-11-07,,2010-03-18,,,,2008-01-15,,,,,,
,,,,2008-02-12,,,,,,,,,,2011-08-16,,2011-04-29,,,,2008-02-19,,,,,,
,,,,2007-09-07,,,,,,,,,,2011-05-05,,2004-12-17,,,,2008-01-18,,,,,,
,,,,2014-10-17,,,,,,,,,,2011-02-04,,2007-08-31,,,,2007-10-25,,,,,,
,,,,,,,,,,,,,,2010-11-05,,2011-08-26,,,,2007-07-31,,,,,,
,,,,,,,,,,,,,,2010-09-02,,2016-04-04,,,,2007-04-30,,,,,,
,,,,,,,,,,,,,,2010-08-19,,,,,,2007-02-27,,,,,,
,,,,,,,,,,,,,,2010-04-30,,,,,,2006-11-07,,,,,,
,,,,,,,,,,,,,,2010-05-12,,,,,,2006-08-08,,,,,,
,,,,,,,,,,,,,,2010-01-27,,,,,,2006-04-27,,,,,,
,,,,,,,,,,,,,,2010-07-19,,,,,,2007-05-30,,,,,,
,,,,,,,,,,,,,,2015-06-30,,,,,,2006-02-23,,,,,,
,,,,,,,,,,,,,,,,,,,,2005-10-27,,,,,,
,,,,,,,,,,,,,,,,,,,,2006-04-04,,,,,,
,,,,,,,,,,,,,,,,,,,,2005-04-28,,,,,,
,,,,,,,,,,,,,,,,,,,,2005-03-08,,,,,,
,,,,,,,,,,,,,,,,,,,,2005-07-28,,,,,,
,,,,,,,,,,,,,,,,,,,,2006-01-10,,,,,,
,,,,,,,,,,,,,,,,,,,,2007-08-10,,,,,,
,,,,,,,,,,,,,,,,,,,,2005-02-18,,,,,,
